symbol,futures_symbol,instrument_token,expiry
BHEL,BHEL26MARFUT,13267714,2026-03-30
BIOCON,BIOCON26MARFUT,13267970,2026-03-30
BLUESTARCO,BLUESTARCO26MARFUT,13268226,2026-03-30
BOSCHLTD,BOSCHLTD26MARFUT,13268482,2026-03-30
BPCL,BPCL26MARFUT,13268738,2026-03-30
BRITANNIA,BRITANNIA26MARFUT,13268994,2026-03-30
BSE,BSE26MARFUT,13269762,2026-03-30
CAMS,CAMS26MARFUT,13270018,2026-03-30
CANBK,CANBK26MARFUT,13270274,2026-03-30
CDSL,CDSL26MARFUT,13270530,2026-03-30
CGPOWER,CGPOWER26MARFUT,13271810,2026-03-30
CHOLAFIN,CHOLAFIN26MARFUT,13272066,2026-03-30
CIPLA,CIPLA26MARFUT,13272834,2026-03-30
COALINDIA,COALINDIA26MARFUT,13273090,2026-03-30
COFORGE,COFORGE26MARFUT,13273346,2026-03-30
COLPAL,COLPAL26MARFUT,13273602,2026-03-30
CONCOR,CONCOR26MARFUT,13274114,2026-03-30
CROMPTON,CROMPTON26MARFUT,13274370,2026-03-30
CUMMINSIND,CUMMINSIND26MARFUT,13275906,2026-03-30
DABUR,DABUR26MARFUT,13276162,2026-03-30
DALBHARAT,DALBHARAT26MARFUT,13276418,2026-03-30
DELHIVERY,DELHIVERY26MARFUT,13276674,2026-03-30
DIVISLAB,DIVISLAB26MARFUT,13277442,2026-03-30
DIXON,DIXON26MARFUT,13277698,2026-03-30
DLF,DLF26MARFUT,13278978,2026-03-30
DMART,DMART26MARFUT,13279234,2026-03-30
DRREDDY,DRREDDY26MARFUT,13279490,2026-03-30
EICHERMOT,EICHERMOT26MARFUT,13279746,2026-03-30
ETERNAL,ETERNAL26MARFUT,13280002,2026-03-30
EXIDEIND,EXIDEIND26MARFUT,13280258,2026-03-30
FEDERALBNK,FEDERALBNK26MARFUT,13280514,2026-03-30
FINNIFTY,FINNIFTY26MARFUT,13238274,2026-03-30
FORTIS,FORTIS26MARFUT,13280770,2026-03-30
GAIL,GAIL26MARFUT,13281026,2026-03-30
GLENMARK,GLENMARK26MARFUT,13281282,2026-03-30
GMRAIRPORT,GMRAIRPORT26MARFUT,13281538,2026-03-30
GODREJCP,GODREJCP26MARFUT,13281794,2026-03-30
GODREJPROP,GODREJPROP26MARFUT,13282050,2026-03-30
GRASIM,GRASIM26MARFUT,13282306,2026-03-30
HAL,HAL26MARFUT,13282562,2026-03-30
HAVELLS,HAVELLS26MARFUT,13282818,2026-03-30
HCLTECH,HCLTECH26MARFUT,13284098,2026-03-30
HDFCAMC,HDFCAMC26MARFUT,13284354,2026-03-30
HDFCBANK,HDFCBANK26MARFUT,13284610,2026-03-30
HDFCLIFE,HDFCLIFE26MARFUT,13284866,2026-03-30
HEROMOTOCO,HEROMOTOCO26MARFUT,13286146,2026-03-30
HINDALCO,HINDALCO26MARFUT,13286402,2026-03-30
HINDPETRO,HINDPETRO26MARFUT,13286658,2026-03-30
HINDUNILVR,HINDUNILVR26MARFUT,13286914,2026-03-30
HINDZINC,HINDZINC26MARFUT,13287170,2026-03-30
HUDCO,HUDCO26MARFUT,13287426,2026-03-30
ICICIBANK,ICICIBANK26MARFUT,13288706,2026-03-30
ICICIGI,ICICIGI26MARFUT,13288962,2026-03-30
ICICIPRULI,ICICIPRULI26MARFUT,13289474,2026-03-30
IDEA,IDEA26MARFUT,13289730,2026-03-30
IDFCFIRSTB,IDFCFIRSTB26MARFUT,13290754,2026-03-30
IEX,IEX26MARFUT,13291010,2026-03-30
INDHOTEL,INDHOTEL26MARFUT,13291266,2026-03-30
INDIANB,INDIANB26MARFUT,13291522,2026-03-30
INDIGO,INDIGO26MARFUT,13292034,2026-03-30
INDUSINDBK,INDUSINDBK26MARFUT,13292290,2026-03-30
INDUSTOWER,INDUSTOWER26MARFUT,13293570,2026-03-30
INFY,INFY26MARFUT,13293826,2026-03-30
INOXWIND,INOXWIND26MARFUT,13294850,2026-03-30
IOC,IOC26MARFUT,13295106,2026-03-30
IREDA,IREDA26MARFUT,13295362,2026-03-30
IRFC,IRFC26MARFUT,13295618,2026-03-30
ITC,ITC26MARFUT,13296386,2026-03-30
JINDALSTEL,JINDALSTEL26MARFUT,13296642,2026-03-30
JIOFIN,JIOFIN26MARFUT,13298434,2026-03-30
JSWENERGY,JSWENERGY26MARFUT,13298690,2026-03-30
JSWSTEEL,JSWSTEEL26MARFUT,13298946,2026-03-30
JUBLFOOD,JUBLFOOD26MARFUT,13299202,2026-03-30
KALYANKJIL,KALYANKJIL26MARFUT,13299458,2026-03-30
KAYNES,KAYNES26MARFUT,13299714,2026-03-30
KEI,KEI26MARFUT,13299970,2026-03-30
KFINTECH,KFINTECH26MARFUT,13300226,2026-03-30
KOTAKBANK,KOTAKBANK26MARFUT,13300994,2026-03-30
KPITTECH,KPITTECH26MARFUT,13301250,2026-03-30
LAURUSLABS,LAURUSLABS26MARFUT,13302018,2026-03-30
LICHSGFIN,LICHSGFIN26MARFUT,13302274,2026-03-30
LICI,LICI26MARFUT,13302530,2026-03-30
LODHA,LODHA26MARFUT,13302786,2026-03-30
LT,LT26MARFUT,13303298,2026-03-30
LTF,LTF26MARFUT,13303554,2026-03-30
LTM,LTM26MARFUT,13303810,2026-03-30
LUPIN,LUPIN26MARFUT,13304066,2026-03-30
M&M,M&M26MARFUT,13304578,2026-03-30
MANAPPURAM,MANAPPURAM26MARFUT,13304834,2026-03-30
MANKIND,MANKIND26MARFUT,13305090,2026-03-30
MARICO,MARICO26MARFUT,13305346,2026-03-30
MARUTI,MARUTI26MARFUT,13305602,2026-03-30
MAXHEALTH,MAXHEALTH26MARFUT,13305858,2026-03-30
MAZDOCK,MAZDOCK26MARFUT,13306114,2026-03-30
MCX,MCX26MARFUT,13306370,2026-03-30
MFSL,MFSL26MARFUT,13306626,2026-03-30
MIDCPNIFTY,MIDCPNIFTY26MARFUT,13238530,2026-03-30
MOTHERSON,MOTHERSON26MARFUT,13306882,2026-03-30
MPHASIS,MPHASIS26MARFUT,13307138,2026-03-30
MUTHOOTFIN,MUTHOOTFIN26MARFUT,13307394,2026-03-30
NATIONALUM,NATIONALUM26MARFUT,13307650,2026-03-30
NAUKRI,NAUKRI26MARFUT,13307906,2026-03-30
NBCC,NBCC26MARFUT,13308162,2026-03-30
NESTLEIND,NESTLEIND26MARFUT,13308418,2026-03-30
NHPC,NHPC26MARFUT,13308674,2026-03-30
NIFTYNXT50,NIFTYNXT5026MARFUT,13239042,2026-03-30
NMDC,NMDC26MARFUT,13308930,2026-03-30
NTPC,NTPC26MARFUT,13309186,2026-03-30
NUVAMA,NUVAMA26MARFUT,13309442,2026-03-30
NYKAA,NYKAA26MARFUT,13310210,2026-03-30
OBEROIRLTY,OBEROIRLTY26MARFUT,13310466,2026-03-30
OFSS,OFSS26MARFUT,13310722,2026-03-30
OIL,OIL26MARFUT,13310978,2026-03-30
ONGC,ONGC26MARFUT,13311234,2026-03-30
PAGEIND,PAGEIND26MARFUT,13311490,2026-03-30
PATANJALI,PATANJALI26MARFUT,13311746,2026-03-30
PAYTM,PAYTM26MARFUT,13312002,2026-03-30
PERSISTENT,PERSISTENT26MARFUT,13312258,2026-03-30
PETRONET,PETRONET26MARFUT,13312514,2026-03-30
PFC,PFC26MARFUT,13312770,2026-03-30
PGEL,PGEL26MARFUT,13313026,2026-03-30
PHOENIXLTD,PHOENIXLTD26MARFUT,13313282,2026-03-30
PIDILITIND,PIDILITIND26MARFUT,13313538,2026-03-30
PIIND,PIIND26MARFUT,13313794,2026-03-30
PNB,PNB26MARFUT,13314050,2026-03-30
PNBHOUSING,PNBHOUSING26MARFUT,13314562,2026-03-30
POLICYBZR,POLICYBZR26MARFUT,13314818,2026-03-30
POLYCAB,POLYCAB26MARFUT,13315074,2026-03-30
POWERGRID,POWERGRID26MARFUT,13315330,2026-03-30
POWERINDIA,POWERINDIA26MARFUT,13315586,2026-03-30
PPLPHARMA,PPLPHARMA26MARFUT,13315842,2026-03-30
PREMIERENE,PREMIERENE26MARFUT,13316610,2026-03-30
PRESTIGE,PRESTIGE26MARFUT,13316866,2026-03-30
RBLBANK,RBLBANK26MARFUT,13317122,2026-03-30
RECLTD,RECLTD26MARFUT,13317378,2026-03-30
RELIANCE,RELIANCE26MARFUT,13317890,2026-03-30
RVNL,RVNL26MARFUT,13318146,2026-03-30
SAIL,SAIL26MARFUT,13318658,2026-03-30
SAMMAANCAP,SAMMAANCAP26MARFUT,13318914,2026-03-30
SBICARD,SBICARD26MARFUT,13319170,2026-03-30
SBILIFE,SBILIFE26MARFUT,13319426,2026-03-30
SBIN,SBIN26MARFUT,13319682,2026-03-30
SHREECEM,SHREECEM26MARFUT,13319938,2026-03-30
SHRIRAMFIN,SHRIRAMFIN26MARFUT,13320450,2026-03-30
SIEMENS,SIEMENS26MARFUT,13320706,2026-03-30
SOLARINDS,SOLARINDS26MARFUT,13320962,2026-03-30
SONACOMS,SONACOMS26MARFUT,13321218,2026-03-30
SRF,SRF26MARFUT,13321474,2026-03-30
SUNPHARMA,SUNPHARMA26MARFUT,13321730,2026-03-30
SUPREMEIND,SUPREMEIND26MARFUT,13321986,2026-03-30
SUZLON,SUZLON26MARFUT,13322242,2026-03-30
SWIGGY,SWIGGY26MARFUT,13323778,2026-03-30
SYNGENE,SYNGENE26MARFUT,13324034,2026-03-30
TATACONSUM,TATACONSUM26MARFUT,13324546,2026-03-30
TATAELXSI,TATAELXSI26MARFUT,13324802,2026-03-30
TATAPOWER,TATAPOWER26MARFUT,13325058,2026-03-30
TATASTEEL,TATASTEEL26MARFUT,13325314,2026-03-30
TATATECH,TATATECH26MARFUT,13325570,2026-03-30
TCS,TCS26MARFUT,13325826,2026-03-30
TECHM,TECHM26MARFUT,13326082,2026-03-30
TIINDIA,TIINDIA26MARFUT,13326338,2026-03-30
TITAN,TITAN26MARFUT,13326594,2026-03-30
TMPV,TMPV26MARFUT,13326850,2026-03-30
TORNTPHARM,TORNTPHARM26MARFUT,13327106,2026-03-30
TORNTPOWER,TORNTPOWER26MARFUT,13327362,2026-03-30
TRENT,TRENT26MARFUT,13327618,2026-03-30
TVSMOTOR,TVSMOTOR26MARFUT,13327874,2026-03-30
ULTRACEMCO,ULTRACEMCO26MARFUT,13328130,2026-03-30
UNIONBANK,UNIONBANK26MARFUT,13328386,2026-03-30
UNITDSPR,UNITDSPR26MARFUT,13328642,2026-03-30
UNOMINDA,UNOMINDA26MARFUT,13328898,2026-03-30
UPL,UPL26MARFUT,13329154,2026-03-30
VBL,VBL26MARFUT,13329410,2026-03-30
VEDL,VEDL26MARFUT,13329666,2026-03-30
VOLTAS,VOLTAS26MARFUT,13329922,2026-03-30
WAAREEENER,WAAREEENER26MARFUT,13330690,2026-03-30
WIPRO,WIPRO26MARFUT,13330946,2026-03-30
YESBANK,YESBANK26MARFUT,13334786,2026-03-30
ZYDUSLIFE,ZYDUSLIFE26MARFUT,13335042,2026-03-30
